ID,Movie Names,Year,Genere,Rating
165,Sinbad: Legend of the Seven Seas,2003,"Family, Animation, Adventure, Comedy, Fantasy, Action",6.9
166,Blade Runner 2049,2017,"Science Fiction, Drama",7.5
167,Hawaiian Vacation,2011,"Animation, Family, Comedy",7
168,Meet the Robinsons,2007,"Animation, Comedy, Family",6.9
169,Deadpool,2016,"Action, Adventure, Comedy",7.6
170,Raiders of the Lost Ark,1981,"Adventure, Action",7.9
171,Coach Carter,2005,"Drama, History",7.6
172,The Devil Conspiracy,2023,"Horror, Fantasy, Science Fiction, Thriller",6.4
173,Kingsman: The Golden Circle,2017,"Action, Adventure, Comedy",7
174,American Carnage,2022,"Horror, Comedy",5.7
175,Coco,2017,"Family, Animation, Fantasy, Music, Comedy, Adventure",8.2
176,Monster Hunter: Legends of the Guild,2021,"Animation, Adventure, Action, Fantasy",5.7
177,Nefarious,2023,"Horror, Thriller",7
178,Scream,2022,"Horror, Mystery, Thriller",6.7
179,Return of Punch and Judy,2023,Horror,6
180,Encanto at the Hollywood Bowl,2022,Music,7
181,Big Hero 6,2014,"Adventure, Family, Animation, Action, Comedy",7.7
182,Consecration,2023,"Horror, Thriller",6
183,Project X,2012,Comedy,6.8
184,The Avengers,2012,"Science Fiction, Action, Adventure",7.7
185,LEGO Frozen Northern Lights,2017,"Animation, Family",6.7
186,White Chicks,2004,"Comedy, Crime",6.9
187,X,2022,"Horror, Mystery, Thriller",6.8
188,Bullet Train,2022,"Action, Comedy, Thriller",7.5
189,Big Sur Gay Porn,2023,Documentary,7
190,The Woman King,2022,"Action, Drama, History",7.8
191,Fifty Shades of Grey,2015,"Drama, Romance, Thriller",5.9
192,Flamin' Hot,2023,"Comedy, Drama",8.2
193,John Wick: Chapter 2,2017,"Action, Thriller, Crime",7.3
194,Cruella,2021,"Comedy, Crime",8.1
195,Zoey 102,2023,"Romance, Comedy",6.3
196,Peter Pan & Wendy,2023,"Family, Fantasy, Action, Adventure",5.7
